Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Parent,Parent summary,Status Category
"IP_DA27_Manager_If account does not associate with manager logged in, System displays an error.",NNB-173,10172,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,diemnqse172514,712020:809ac591-9222-4df5-9354-a6ee36c2d221,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 10:59 AM,22/Sep/23 9:57 AM,22/Sep/23 9:58 AM,,,0,,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0011j:,,,,,,,,,,,,,,,,,,,,To Do
"IP_DC25_Manager_If account associate with Customer Id, System displays an error.",NNB-172,10171,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,diemnqse172514,712020:809ac591-9222-4df5-9354-a6ee36c2d221,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 10:59 AM,22/Sep/23 9:56 AM,22/Sep/23 9:56 AM,,,0,,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0011b:,,,,,,,,,,,,,,,,,,,,To Do
"IP_DC24_Manager_If account associate with Customer Id, System displays an error.",NNB-171,10170,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Ho Tan Thanh (K16 HCM),712020:3a386211-06ed-477f-801a-8c7478786c66,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 10:59 AM,21/Sep/23 12:56 PM,26/Sep/23 8:22 AM,,,0,To verify that the system displays an error when a manager attempts to delete a customer who has an account associated with their Customer ID.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The system should detect that the selected customer has an associated account and display an error message on the screen.,,,,,0|i00113:,,,,,,,,,,,,,"    Select a customer from the list of customers who have an associated account.

    Click on the ""Delete"" or ""Submit"" button to initiate the customer deletion.",,,,,,,To Do
"IP_D22_Customer_If destination account number does not associate with customer, System displays an error.",NNB-170,10169,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Ho Tan Thanh (K16 HCM),712020:3a386211-06ed-477f-801a-8c7478786c66,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 10:59 AM,21/Sep/23 12:43 PM,21/Sep/23 8:21 PM,,,0,,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0010v:,,,,,,,,,,,,,,,,,,,,To Do
"IP_D20_Manager_If destination account number does not associate with manager, System displays an error.",NNB-169,10168,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Ho Tan Thanh (K16 HCM),712020:3a386211-06ed-477f-801a-8c7478786c66,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 10:59 AM,21/Sep/23 12:42 PM,26/Sep/23 8:22 AM,,,0,,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0010n:,,,,,,,,,,,,,,,,,,,,To Do
"IP_W18_Customer_If source account does not associate with customer, System displays an error.",NNB-168,10167,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Ho Tan Thanh (K16 HCM),712020:3a386211-06ed-477f-801a-8c7478786c66,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 10:59 AM,21/Sep/23 12:42 PM,26/Sep/23 8:22 AM,,,0,,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0010f:,,,,,,,,,,,,,,,,,,,,To Do
"IP_W17_Customer_If source account does not have the necessary balance, system displays an error",NNB-167,10166,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Ho Tan Thanh (K16 HCM),712020:3a386211-06ed-477f-801a-8c7478786c66,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 10:58 AM,21/Sep/23 12:42 PM,26/Sep/23 8:22 AM,,,0,To verify that the system displays an error message when a customer attempts to withdraw funds from a source account that does not have the necessary balance.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The system should detect the insufficient balance in the source account and display an error message on the screen.,,,,,0|i00107:,,,,,,,,,,,,,"    Enter the withdrawal amount, which exceeds the available balance in the source account.

    Click on the ""Withdraw"" or ""Submit"" button to initiate the withdrawal.",,,,,,,To Do
"IP_W15_Manager_If source account does not associate with manager, System displays an error.",NNB-165,10164,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 10:58 AM,22/Sep/23 9:49 AM,21/Sep/23 8:21 PM,,,0,"If the source account is not associated with the manager, verify that the system displays an error.",,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,NNB-6,New Customer,,,The system should display an error message indicating that the source account is not associated with the manager.,,,,,0|i000zz:,,,,,,,,,,,,Unit,"As a manager, attempt to initiate a transaction from a source account that is not associated with you.",,,,,10005,New Customer,To Do
"IP_W14_Manager_If source account does not have the necessary balance, system displays an error",NNB-164,10163,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 10:58 AM,22/Sep/23 9:47 AM,26/Sep/23 8:22 AM,,,0,"If the source account does not have the necessary balance, verify that the system displays an error.",,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,NNB-6,New Customer,,,The system should display an error message indicating that the source account does not have the necessary balance.,,,,,0|i000zr:,,,,,,,,,,,,Unit,"As a manager, attempt to initiate a transaction from a source account with insufficient balance.",,,,,10005,New Customer,To Do
"IP_FT12_Customer_If the source account is not associate with customer itself, System displays an error.",NNB-163,10162,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,huytqse160495,712020:4548e914-f537-4fbb-b9b8-5924b0b321c9,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,21/Sep/23 10:57 AM,22/Sep/23 9:46 AM,26/Sep/23 8:22 AM,,,0,"If the source account is not associated with the customer itself, verify that the system displays an error.",,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,NNB-162,,,,,,,,,,,,,,,NNB-6,New Customer,,,The system should display an error message indicating that the source account is not associated with the customer.,,,,,0|i000zj:,,,,,,,,,,,,Unit,Attempt to initiate a transaction from a source account that is not associated with the customer.,,,,,10005,New Customer,To Do
