Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Parent,Parent summary,Status Category
W105 - Verify Customer Withdraw - Special character are not allowed,NNB-126,10125,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:32 PM,25/Sep/23 8:54 PM,25/Sep/23 8:53 PM,25/Sep/23 8:54 PM,,0,The field must not contain any special characters.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,25/Sep/23 8:54 PM;712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f;Untitled.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10136,,, The error message does appear indicating that special characters are not allowed in the field.,,,,,,,,,,,NNB-14,Withdrawal,,,"An error message should be displayed, indicating that special characters are not allowed in the field.",,,,,0|i000rj:,,NNB Sprint 1,NNB Sprint 2,NNB Sprint 3,,,,,,,,Unit,"1. Attempt to input special characters (e.g., @#$%) into the field.
2. Submit the form.",Pass,,,,10013,Withdrawal,Done
W104 - Verify Customer Withdraw - Account No must not be blank,NNB-125,10124,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:32 PM,25/Sep/23 8:52 PM,25/Sep/23 8:53 PM,25/Sep/23 8:52 PM,,0,The Account Number field must not be blank.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,25/Sep/23 8:52 PM;712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f;Untitled.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10135,,, The error message does appear indicating that the Account Number field is required.,,,,,,,,,,,NNB-14,Withdrawal,,,"An error message should be displayed, indicating that the Account Number field is required.",,,,,0|i000rb:,,NNB Sprint 1,NNB Sprint 2,NNB Sprint 3,,,,,,,,Unit,"1. Leave the Account Number field blank.
2. Submit the form.",Pass,,,,10013,Withdrawal,Done
CP103 - Verify Customer Password - Passwords do not Match,NNB-124,10123,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:31 PM,25/Sep/23 8:51 PM,25/Sep/23 8:52 PM,25/Sep/23 8:50 PM,,0,The Confirm Password field must match the entered Password field.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,25/Sep/23 8:50 PM;712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f;Untitled.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10134,,, The error message does appear indicating that the passwords do not match.,,,,,,,,,,,NNB-5,Change Password,,,"An error message should be displayed, indicating that the passwords do not match.",,,,,0|i000r3:,,NNB Sprint 1,NNB Sprint 2,NNB Sprint 3,,,,,,,,Unit,"1. Enter different passwords in the Password and Confirm Password fields.
2. Attempt to submit the form.",Pass,,,,10004,Change Password,Done
CP102 - Verify Customer Password - Confirm Password must not be blank,NNB-123,10122,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:31 PM,25/Sep/23 8:48 PM,25/Sep/23 8:49 PM,25/Sep/23 8:48 PM,,0,The Confirm Password field must not be blank.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,25/Sep/23 8:47 PM;712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f;Untitled.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10133,,, The error message does appear indicating that the Confirm Password field is required.,,,,,,,,,,,NNB-5,Change Password,,,"An error message should be displayed, indicating that the Confirm Password field is required.",,,,,0|i000qv:,,NNB Sprint 1,NNB Sprint 2,NNB Sprint 3,,,,,,,,Unit,"1. Leave the Confirm Password field blank.
2. Attempt to submit the form.",Pass,,,,10004,Change Password,Done
CP101 - Verify Customer Password - Choose a difficult Password,NNB-122,10121,Bug,Open,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:31 PM,25/Sep/23 8:47 PM,25/Sep/23 8:47 PM,,,0,The user must choose a password that meets the criteria for a strong and difficult password.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,25/Sep/23 8:46 PM;712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f;Untitled.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10132,,,A weak password was input but there is no error message indicating that a difficult password is required.,,,,,,,,,,,NNB-5,Change Password,,,"An error message should be displayed, indicating that a difficult password is required.",,,,,0|i000qn:,,NNB Sprint 1,NNB Sprint 2,NNB Sprint 3,,,,,,,,Unit,"1. Enter a password that does not meet the criteria for a strong and difficult password (123!)
2. Attempt to submit the form.",Fail,,,,10004,Change Password,To Do
CP100 - Verify Customer Password - Enter at-least one special character,NNB-121,10120,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:31 PM,25/Sep/23 8:43 PM,25/Sep/23 8:42 PM,25/Sep/23 8:43 PM,,0,The field must contain at least one special character.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,25/Sep/23 8:43 PM;712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f;Untitled.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10131,,, The error message does appear indicating that the password requires at-least one special character.,,,,,,,,,,,NNB-5,Change Password,,,"An error message should be displayed, indicating that the password requires at-least one special character.",,,,,0|i000qf:,,NNB Sprint 1,NNB Sprint 2,NNB Sprint 3,,,,,,,,Unit,"1. Enter anything except special characters
2. Submit the form",Pass,,,,10004,Change Password,Done
CP99  - Verify Customer Password - Enter at-least one numeric value,NNB-120,10119,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:31 PM,25/Sep/23 8:42 PM,25/Sep/23 8:42 PM,25/Sep/23 8:42 PM,,0,The field must contain at least one numeric value.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,25/Sep/23 8:41 PM;712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f;Untitled.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10130,,, The error message does appear indicating that the password requires at-least one numeric value,,,,,,,,,,,NNB-5,Change Password,,,"An error message should be displayed, indicating that the password requires at-least one numeric value",,,,,0|i000q7:,,NNB Sprint 1,NNB Sprint 2,NNB Sprint 3,,,,,,,,Unit,"1. Enter anything except numeric values
2. Submit the form",Pass,,,,10004,Change Password,Done
CP98  - Verify Customer Password - New Password must not be blank,NNB-119,10118,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:30 PM,25/Sep/23 8:40 PM,25/Sep/23 8:39 PM,25/Sep/23 8:40 PM,,0,The New Password field must not be blank.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,25/Sep/23 8:40 PM;712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f;Untitled.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10129,,, The error message does appear indicating that the New Password field is required.,,,,,,,,,,,NNB-5,Change Password,,,"An error message should be displayed, indicating that the New Password field is required.",,,,,0|i000pz:,,NNB Sprint 1,NNB Sprint 2,NNB Sprint 3,,,,,,,,Unit,"1. Leave the New Password field blank.
2. Attempt to submit the form.",Pass,,,,10004,Change Password,Done
CP97  - Verify Customer Password - Old Password must not be blank,NNB-118,10117,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:30 PM,25/Sep/23 8:38 PM,25/Sep/23 8:39 PM,25/Sep/23 8:38 PM,,0,The Old Password field must not be blank.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,25/Sep/23 8:38 PM;712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f;Untitled.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10128,,,The error message does appear indicating that the Old Password field is required.,,,,,,,,,,,NNB-5,Change Password,,,"An error message should be displayed, indicating that the Old Password field is required.",,,,,0|i000pr:,,NNB Sprint 1,NNB Sprint 2,NNB Sprint 3,,,,,,,,Unit,"1. Leave the Old Password field blank.
2. Attempt to submit the form.",Pass,,,,10004,Change Password,Done
MSP96 - Verify Customer Statement - Characters are not allowed,NNB-117,10116,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:30 PM,16/Sep/23 8:57 PM,25/Sep/23 8:37 PM,14/Sep/23 6:01 PM,,0,The field must not contain any characters; only specific input is allowed.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,13/Sep/23 5:42 PM;712020:809ac591-9222-4df5-9354-a6ee36c2d221;Screenshot (1243).png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10062,,,An error message showed up indicating the error as expected.,,,,,,,,,,,NNB-3,Mini Statement,,,An error message occurs indicating there should not be any character in the field.,,,,,0|i000pj:,,NNB Sprint 1,,,,,,,,,,Unit,"1. Attempt to input characters (e.g., ""abc"") into the field.
2. Submit the form.",Pass,,,,10002,Mini Statement,Done
MSP95 - Verify Customer Statement - Special character are not allowed,NNB-116,10115,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:30 PM,16/Sep/23 8:55 PM,26/Sep/23 8:22 AM,14/Sep/23 6:01 PM,,0,The field must not contain any special characters.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,13/Sep/23 5:41 PM;712020:809ac591-9222-4df5-9354-a6ee36c2d221;Screenshot (1242).png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10061,,,An error message showed as expected when input a special character.,,,,,,,,,,,NNB-3,Mini Statement,,,"An error message should be displayed, indicating that special characters are not allowed in the field.",,,,,0|i000pb:,,NNB Sprint 1,,,,,,,,,,Unit,"1. Attempt to input special characters (e.g., @#$%) into the field.
2. Submit the form.",Pass,,,,10002,Mini Statement,Done
MSP94 - Verify Customer Statement -  Account No must not be blank,NNB-115,10114,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:29 PM,16/Sep/23 8:55 PM,25/Sep/23 8:39 PM,14/Sep/23 6:01 PM,,0,Account Number field must not be blank.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,13/Sep/23 5:38 PM;712020:809ac591-9222-4df5-9354-a6ee36c2d221;Screenshot (1241).png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10060,,,An error message appeared when leaving the Account No blank as expected.,,,,,,,,,,,NNB-3,Mini Statement,,,"An error message should be displayed, indicating that the Account Number field is required.",,,,,0|i000p3:,,NNB Sprint 1,,,,,,,,,,Unit,"1. Leave the Account Number field blank.
2. Attempt to submit the form.",Pass,,,,10002,Mini Statement,Done
L93 - Verify Customer Login - Password must not be blank,NNB-114,10113,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:29 PM,18/Sep/23 9:56 PM,26/Sep/23 8:22 AM,14/Sep/23 5:55 PM,,0,Password field must not be blank.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,13/Sep/23 5:36 PM;712020:809ac591-9222-4df5-9354-a6ee36c2d221;Screenshot (1240).png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10059,,,The system/page showed the expected error message.,,,,,,,,,,,NNB-132,Login,,,"An error message should be displayed, indicating that the Password field is required.",,,,,0|i000ov:,,NNB Sprint 1,,,,,,,,,,System,"1. Leave the Password field blank.
2. Attempt to submit the form.",Pass,,,,10131,Login,Done
L92  - Verify Customer Login - User-ID must not be blank,NNB-113,10112,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:29 PM,25/Sep/23 8:39 PM,25/Sep/23 8:39 PM,14/Sep/23 6:01 PM,,0,User-ID field must not be blank.,,Lê Thị Quỳnh Chi (FE FPL HCM),Pham Duc Tai,712020:802b9c98-3052-468e-bb0e-585eedc8e330,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,13/Sep/23 5:32 PM;712020:809ac591-9222-4df5-9354-a6ee36c2d221;Screenshot (1239).png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10058,,,The system/page show the expected message when input error.,,,,,,,,,,,NNB-132,Login,,,"An error message should be displayed, indicating that the User-ID field is required.",,,,,0|i000on:,,NNB Sprint 1,,,,,,,,,,System,"1. Leave the User-ID field blank.
2. Attempt to submit the form.",Pass,,2023-09-12 13:45:22.072,"12/Sep/23 8:45 PM;712020:802b9c98-3052-468e-bb0e-585eedc8e330;Xem lại cách ghi Summary, thiếu Test Scenario nhé nhóm!",10131,Login,Done
FT91 - Verify Customer Fund Transfer - Description cannot be blank,NNB-112,10111,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:29 PM,25/Sep/23 8:39 PM,25/Sep/23 8:35 PM,25/Sep/23 8:36 PM,,0,The Description field must not be blank.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,25/Sep/23 8:36 PM;712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f;Untitled.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10127,,,The error message does appear indicating that the Description field is required.,,,,,,,,,,,NNB-2,Fund Transfer,,,"An error message should be displayed, indicating that the Description field is required.",,,,,0|i000of:,,NNB Sprint 1,NNB Sprint 2,NNB Sprint 3,,,,,,,,Unit,"1. Open the application.
2. Locate the Description field.
3. Leave the Description field blank.
4. Attempt to submit the form.",Pass,,,,10001,Fund Transfer,Done
FT90 -  Verify Customer Fund Transfer - Special characters are not allowed,NNB-111,10110,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:29 PM,25/Sep/23 8:39 PM,25/Sep/23 8:34 PM,25/Sep/23 8:35 PM,,0,The field must not contain any special characters.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,25/Sep/23 8:35 PM;712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f;Untitled.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10126,,," The error message does appear indicating that only specific input is allowed, and special characters are not allowed.",,,,,,,,,,,NNB-2,Fund Transfer,,,"An error message should be displayed, indicating that only specific input is allowed, and special characters are not allowed.",,,,,0|i000o7:,,NNB Sprint 1,NNB Sprint 2,NNB Sprint 3,,,,,,,,Unit,"1. Open the application.
2. Locate the field in question.
3. Attempt to input special characters (e.g., @#$%) into the field.
4. Submit the form.",Pass,,,,10001,Fund Transfer,Done
FT89 - Verify Customer Fund Transfer -  Characters are not allowed,NNB-110,10109,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:28 PM,25/Sep/23 8:39 PM,25/Sep/23 8:35 PM,25/Sep/23 8:33 PM,,0,The field must not contain any characters; only specific input is allowed.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,25/Sep/23 8:33 PM;712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f;Untitled.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10125,,,"The error message does appear indicating that only specific input is allowed, and characters are not allowed.",,,,,,,,,,,NNB-2,Fund Transfer,,,"An error message should be displayed, indicating that only specific input is allowed, and characters are not allowed.",,,,,0|i000nz:,,NNB Sprint 1,NNB Sprint 2,NNB Sprint 3,,,,,,,,Unit,"1. Open the application.
2. Locate the field in question.
3. Attempt to input characters (e.g., ""abc123"") into the field.
4. Submit the form.",Pass,,,,10001,Fund Transfer,Done
FT88 -  Verify Customer Fund Transfer - Amount Field must not be blank,NNB-109,10108,Story,Done,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,Done,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:28 PM,25/Sep/23 8:39 PM,25/Sep/23 8:31 PM,25/Sep/23 8:31 PM,,0,Verify that the amount field does not allow blank entries.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,25/Sep/23 8:31 PM;712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f;Untitled.png;https://group4njs1704.atlassian.net/rest/api/3/attachment/content/10124,,,The error message does appear indicating that the amount is required.,,,,,,,,,,,NNB-2,Fund Transfer,,,The system should display an error message indicating that the amount is required.,,,,,0|i000nr:,,NNB Sprint 1,NNB Sprint 2,NNB Sprint 3,,,,,,,,Unit,Leave the amount field blank and attempt to initiate a fund transfer.,Pass,,,,10001,Fund Transfer,Done
FT87  - Verify Customer Fund Transfer - Characters are not allowed,NNB-108,10107,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:28 PM,21/Sep/23 8:28 PM,26/Sep/23 8:22 AM,,,0,Testing for disallowing characters in the Description field.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,,,,,,,,,,,,NNB-2,Fund Transfer,,," An error message should be displayed, indicating that only alphanumeric characters are allowed in the Description field.",,,,,0|i000nj:,,NNB Sprint 3,,,,,,,,,,Unit,"Open the application.
Locate the Description field.
Enter characters (e.g., 'abcd1234') into the Description field.
Attempt to submit the form.",,,,,10001,Fund Transfer,To Do
FT86  - Verify Customer Fund Transfer - Special characters are not allowed,NNB-107,10106,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:28 PM,18/Sep/23 9:44 PM,26/Sep/23 8:22 AM,,,0,Testing for disallowing special characters in the Description field.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,," An error message should be displayed, indicating that special characters are not allowed in the Description field.",,,,,,,,,,,NNB-2,Fund Transfer,,,"Open the application.
Locate the Description field.
Enter special characters (e.g., !@#$%^) into the Description field.
Attempt to submit the form.",,,,,0|i000nb:,,NNB Sprint 1,NNB Sprint 2,NNB Sprint 3,,,,,,,,Unit,"Enter ""1234@567"" in the payee's account number field and attempt to initiate a fund transfer.",,,,,10001,Fund Transfer,To Do
FT85 -  Verify Customer Fund Transfer - Payees Account Number must not be blank,NNB-106,10105,Story,To Do,NNB,N4_NJS1704_BankingProject,software,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,Medium,,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Huynh Huu Tri Nhan (K17 HCM),712020:2a920d8d-0438-43e5-97c5-5a2455a166f8,Pham Duc Tai,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,12/Sep/23 8:28 PM,21/Sep/23 8:28 PM,21/Sep/23 8:19 PM,,,0,Testing for the Payee's Account Number not being blank.,,Pham Duc Tai,,712020:9dfd2bf3-84bc-493b-8c3a-1b2ac054495f,,,,,,,,,,,,,,,"An error message should be displayed, indicating that the Payee's Account Number is required and must not be blank.",,,,,,,,,,,NNB-2,Fund Transfer,,, The system should display an error message indicating that the payee's account number is required.,,,,,0|i000n3:,,NNB Sprint 3,,,,,,,,,,Unit,"Open the application.
Locate the Payee's Account Number field.
Leave the Payee's Account Number field blank.
Attempt to submit the form.",,,,,10001,Fund Transfer,To Do
